gene_id		SH200_E7_Z11_ST23	SH201_E7-Q	SH202_E7-R	SH203_E7-S	SH204_E7-T	SH205_E7-V	SH206_E7-X	SH221	SH222	SH223	SH230
tr210260		0	0	0	0	0	0	0	1	1	1	2
tr210261		0	0	0	0	0	0	0	28	46	60	23
tr210262		0	0	0	0	0	0	0	0	0	3	0
tr210265		0	0	0	0	0	0	0	23	32	53	6
tr210266		0	0	0	0	0	0	0	26	58	89	27
tr210267		0	0	0	0	0	0	0	12	20	14	16
tr210268		0	0	0	0	0	0	0	1	0	5	0
tr210273		0	0	0	0	0	0	0	0	3	1	2
tr210274		0	0	0	0	0	0	0	10	13	22	5
tr210276		0	0	0	0	3	0	0	13	18	38	14
tr210285		1	2	0	0	0	0	0	2	10	12	3
tr210286		15	8	26	12	51	78	25	430	887	421	254
tr210287		0	0	0	0	0	0	0	13	8	15	2
tr21030		74	29	5	44	19	53	20	305	578	493	240
tr210300		0	0	0	0	0	0	0	5	10	18	5
tr210302		0	0	0	0	0	0	0	9	12	23	7
tr210311		0	0	3	0	0	0	3	1	1	0	9
tr210316		0	0	0	0	0	0	0	9	17	29	5
tr210317		0	0	0	1	0	0	0	10	20	6	9
tr210319		0	0	0	2	0	0	0	27	67	52	28
tr210324		0	0	0	0	0	0	0	0	3	1	0
tr210328		10	12	1	3	5	5	1	39	238	66	81
tr210331		0	0	0	0	0	1	0	17	97	33	52
tr210332		0	0	0	0	0	0	0	13	12	14	7
tr210334		0	0	0	0	0	0	0	0	9	24	3
tr210339		0	0	0	1	0	0	0	5	14	16	3
tr210342		0	0	0	3	0	0	0	179	271	460	152
tr210345		0	0	0	0	0	0	0	1	5	0	0
tr210347		0	0	0	0	0	0	0	19	37	41	23
tr210348		0	0	0	0	0	0	0	11	18	25	18
tr210351		0	0	0	0	0	0	0	1	3	5	5
tr210359		0	0	0	0	0	0	0	2	1	16	8
tr210363		0	0	0	0	0	0	0	5	12	17	4
tr210370		0	0	0	0	0	0	0	24	51	75	22
tr210375		0	0	0	0	1	0	0	40	52	61	23
tr210377		0	0	0	0	0	0	0	21	30	40	12
tr210380		0	0	0	0	0	0	0	11	4	0	1
tr210381		0	0	0	0	0	0	0	3	7	13	4
tr210382		0	0	0	0	0	0	0	14	26	17	12
tr210386		0	0	0	0	0	0	0	1	2	10	0
tr210387		0	0	0	0	0	0	0	51	74	76	19
tr210391		0	0	0	0	0	0	0	32	62	71	48
tr210401		0	0	0	0	0	0	0	21	45	77	22
tr210402		0	0	0	0	0	0	0	13	27	12	7
tr210407		0	0	0	0	0	0	0	5	19	13	3
tr21041		0	0	0	0	0	0	0	16	34	34	19
tr210413		0	0	0	0	0	0	0	0	2	10	0
tr210416		0	0	0	0	0	0	0	0	3	5	2
tr210427		17	13	0	5	2	26	3	120	455	230	156
tr210431		0	0	0	0	0	0	0	0	0	2	2
tr210433		23	26	10	44	29	85	14	658	1481	1006	631
tr210437		0	0	0	2	4	0	0	12	8	7	7
tr210442		0	0	0	1	0	0	0	51	74	84	30
tr210449		0	0	0	0	0	0	0	5	5	7	6
tr210459		269	41	3	60	41	125	6	974	2394	1467	741
tr210466		0	0	0	0	0	0	0	4	3	1	0
tr210467		0	0	0	0	0	0	0	11	10	14	3
tr21047		0	0	0	0	0	1	0	1	4	1	3
tr210475		0	0	0	0	0	0	0	1	1	1	3
tr210478		0	0	0	0	0	0	0	44	55	71	29
tr210487		0	0	0	0	0	0	0	7	13	22	15
tr210489		0	0	0	0	0	7	1	181	39	111	16
tr210491		26	13	12	11	38	24	4	202	384	252	169
tr210493		0	0	0	0	0	0	0	7	12	13	9
tr210494		0	0	5	2	0	0	0	0	0	3	4
tr210504		0	1	27	3	2	59	10	8774	4595	4647	1039
tr210509		0	0	0	0	0	0	0	3	6	1	0
tr210514		226	185	55	298	561	298	42	1250	1938	1270	497
tr210527		0	0	0	0	0	0	0	2	5	3	5
tr210530		293	145	45	142	345	244	14	813	1760	370	431
tr210534		0	0	0	0	0	0	0	10	26	34	19
tr210543		0	0	0	0	0	0	0	0	0	0	35
tr210546		0	0	0	0	0	0	0	3	2	2	3
tr210547		0	0	0	0	0	1	0	0	5	1	0
tr210552		1	0	0	0	0	0	0	6	18	20	10
tr210568		0	0	0	0	0	0	0	0	6	2	0
tr210573		0	0	0	3	0	0	0	31	53	66	29
tr210574		0	0	0	0	0	0	0	4	8	10	10
tr210580		29	6	2	11	15	27	0	18	53	32	21
tr210588		0	0	0	0	0	0	0	1	0	4	1
tr210589		0	0	0	0	0	0	0	10	11	15	11
tr210595		0	0	0	0	0	0	0	0	6	8	0
tr210599		77	24	12	37	44	75	3	121	342	150	90
tr210601		1	0	0	0	0	0	0	1	4	0	2
tr210604		0	0	0	0	0	0	0	1	9	17	8
tr210605		0	0	0	0	0	0	0	1	5	6	5
tr210608		0	0	0	0	0	0	0	3	6	13	1
tr210610		0	0	0	1	0	0	0	51	88	104	33
tr210611		0	0	0	0	0	0	0	0	0	0	3
tr210612		0	0	0	0	0	0	0	0	0	0	3
tr210615		0	0	0	0	0	0	0	0	3	3	2
tr210616		0	0	0	0	0	0	0	18	22	32	15
tr210622		0	0	0	0	0	0	0	21	22	38	4
tr210625		0	0	1	0	0	0	0	1	0	0	2
tr210626		0	0	0	0	0	0	0	0	0	2	4
tr210636		0	0	0	0	0	4	0	5	36	25	12
tr210637		0	0	0	0	0	0	0	11	25	21	9
tr21064		0	0	0	0	0	0	0	21	26	13	13
tr210643		0	0	4	0	0	0	0	1	1	0	7
tr210644		0	0	0	0	0	0	0	17	8	17	6
tr210650		0	0	0	1	0	0	0	28	34	39	10
tr210654		0	0	0	0	0	0	0	12	11	18	3
tr210659		0	0	0	0	0	0	0	11	21	18	7
tr21066		164	31	80	53	81	255	53	1391	1710	1367	457
tr210662		0	0	0	0	0	0	0	10	19	23	1
tr210663		0	0	0	0	0	0	0	0	1	4	1
tr210664		0	0	0	0	0	0	0	1	0	7	0
tr210666		0	0	0	0	0	0	0	79	137	254	60
tr210671		0	0	0	0	0	0	0	1	0	4	0
tr210673		4	0	9	1	0	50	1	472	58	161	27
tr210690		0	0	0	0	0	0	0	9	12	6	3
tr210693		0	0	0	0	0	0	0	0	0	5	3
tr210694		0	0	0	1	0	0	0	27	39	55	20
tr210699		0	0	0	1	0	0	0	21	32	41	13
tr2107		16	6	3	3	0	14	8	40	154	197	56
tr21070		237	117	95	107	194	517	59	1736	6386	2059	2796
tr210714		13	0	0	3	3	13	0	99	137	48	15
tr210715		0	0	0	0	1	0	0	7	6	10	5
tr210717		0	0	0	0	0	0	0	2	0	0	3
tr210718		237	71	12	28	10	51	15	71	372	179	142
tr210722		0	0	0	0	0	0	0	28	36	50	13
tr210724		1	1	1	5	1	4	1	48	97	74	39
tr210733		0	0	0	0	0	0	0	0	3	3	2
tr210738		0	0	0	0	0	0	0	34	20	36	15
tr210741		0	0	0	0	0	0	0	13	22	26	9
tr210747		0	0	0	0	0	0	0	4	1	2	0
tr210749		0	0	0	0	0	0	0	4	0	10	1
tr210751		0	0	0	0	0	0	0	1	2	10	1
tr210753		2	2	0	0	1	4	0	23	49	8	16
tr210754		0	0	0	0	0	0	0	15	17	16	5
tr210757		0	0	0	0	0	0	0	3	2	4	12
tr210759		0	0	0	0	0	0	0	2	9	10	3
tr210760		0	0	0	0	0	0	0	16	20	31	15
tr210764		0	0	0	0	0	0	0	4	1	6	0
tr210765		0	0	0	0	0	0	0	4	6	14	0
tr210766		0	0	0	0	0	0	3	0	2	1	11
tr210767		0	0	0	2	8	0	0	28	62	48	11
tr210768		0	0	0	0	0	0	0	2	8	3	3
tr210770		0	0	0	0	0	0	0	2	4	8	6
tr210776		0	0	0	0	0	0	0	6	3	8	0
tr210784		5	31	3	38	29	72	1	97	167	394	63
tr210785		626	160	143	365	720	413	61	6941	11852	11879	3709
tr210792		0	0	0	0	0	0	0	1	0	2	3
tr210798		0	0	0	3	0	0	0	163	300	251	94
tr210801		0	0	0	0	0	0	0	12	11	20	5
tr210805		0	0	0	0	0	0	0	3	0	0	0
tr210806		1	0	0	0	0	3	0	7	12	9	0
tr21081		0	0	0	2	1	3	1	95	126	129	17
tr210812		17	0	0	2	10	3	0	29	78	43	40
tr210820		151	77	14	77	87	166	9	717	1715	1230	614
tr210830		0	0	0	0	0	0	0	1	9	12	3
tr210831		0	0	0	1	0	0	0	8	25	19	2
tr210837		0	0	0	0	0	0	0	8	5	6	0
tr210838		0	0	0	0	0	0	0	22	48	49	12
tr210841		0	0	0	0	0	0	0	2	6	8	0
tr21085		0	4	0	1	3	3	0	5	38	31	12
tr210857		0	0	0	0	0	0	0	0	0	0	86
tr210870		45	7	4	11	5	45	3	724	450	605	267
tr210884		0	0	0	0	0	0	0	3	0	2	0
tr210885		4614	1549	522	2368	3693	2524	677	34046	64086	64833	25620
tr210886		0	0	0	0	0	0	0	16	18	28	9
tr210887		0	0	0	0	0	0	0	0	5	12	1
tr210889		0	0	0	0	0	0	0	2	2	3	0
